scenario_id,regime,design_component,peclet_number,damkohler_number,rows,active_rows,mae,rmse,r2,active_mae,active_rmse,maximum_absolute_error,integrated_mass_relative_error,arrival_time_absolute_error_s,arrival_positions,missed_arrival_positions,pde_residual_rmse_s_1,initial_condition_maximum_absolute_error,inlet_boundary_maximum_absolute_error
A5-CH-0097,retardation_and_decay,latin_hypercube,100.615511661,0.00401333318382,2499,396,0.00404487935298,0.015013280655,0.995739693132,0.0254046585709,0.0377087466937,0.171635748314,0.0141173889061,1800,50,0,7.6452675685e-05,0,0
A5-CH-0098,retardation_and_decay,latin_hypercube,162.463478748,0.00125225740418,2499,189,0.00268967626597,0.0133027439453,0.995017415006,0.0302379294244,0.0375559356035,0.306417822838,0.0115510951342,1800,50,0,9.97291771261e-05,0,0
A5-CH-0099,retardation_and_decay,latin_hypercube,4.13836090108,0.201729772717,2499,2330,0.0136848966122,0.031936940059,0.89849332911,0.0144613111276,0.0329409595964,0.358110568333,0.0268916481294,1800,50,0,0.000258338952382,0,0
A5-CH-0100,retardation_and_decay,latin_hypercube,243.996504862,0.000632187357029,2499,158,0.00422743018306,0.0251128628446,0.978970659225,0.059640498579,0.0925262026486,0.541596944133,0.0144836938511,1800,50,0,9.71171124243e-05,0,0
A5-CH-0101,retardation_and_decay,latin_hypercube,80.9368357592,0.0907454923547,2499,401,0.00375886165771,0.0141182530347,0.994962781227,0.0233529567128,0.0352430768763,0.133376965858,0.0174037408315,1800,50,0,4.59807657372e-05,0,0
A5-CH-0102,retardation_and_decay,latin_hypercube,16.1278163817,0.295429734726,2499,1273,0.00966400170223,0.0249512524994,0.983508912061,0.0176866234552,0.0299182679469,0.438863545656,0.0233618349936,1800,50,0,0.000142835698928,0,0
A5-CH-0103,retardation_and_decay,latin_hypercube,11.9982507863,0.109090030515,2499,2200,0.0179496866376,0.0333836842088,0.946557056889,0.019987874422,0.034691308962,0.427509516384,0.0876548838401,1800,50,0,9.50093745604e-05,0,0
A5-CH-0104,retardation_and_decay,latin_hypercube,50.1945733279,0.00195038295204,2499,487,0.00512082179668,0.0190621042093,0.974573965655,0.0259133539982,0.0430926856976,0.175026604741,0.093987051707,1800,50,0,4.21554146829e-05,0,0
A5-CH-0105,retardation_and_decay,latin_hypercube,23.870478692,0.00188665010138,2499,563,0.00531567964893,0.0184759772361,0.996109832496,0.0235599071811,0.0389243288628,0.22232062436,0.00606434181823,0,50,0,8.58146884949e-05,0,0
A5-CH-0106,retardation_and_decay,latin_hypercube,179.987191442,0.0047076611382,2499,217,0.00316877814005,0.0137423211762,0.994306572774,0.035963764169,0.0465600001932,0.147408812293,0.013534419306,1800,50,0,7.42962241441e-05,0,0
A5-CH-0107,retardation_and_decay,latin_hypercube,8.74755981092,0.0147958259713,2499,1036,0.0103885504367,0.0332325088529,0.964891650568,0.0211796326012,0.0351967412455,0.660818338394,0.0471577149485,1800,50,0,0.000518970066286,0,0
A5-CH-0108,retardation_and_decay,latin_hypercube,112.017086397,0.0416229974393,2499,455,0.00462928892106,0.0171306047089,0.994241055493,0.0247785168153,0.0395799643715,0.27225335524,0.0035170442991,1800,50,0,4.76535542105e-05,0,0
A5-CH-0109,retardation_and_decay,latin_hypercube,33.6897215317,0.0165014477872,2499,553,0.00563413870226,0.0175499754062,0.994820249616,0.0254086884692,0.0373063781678,0.12339892263,0.0226542090553,0,50,0,4.69796267317e-05,0,0
A5-CH-0110,retardation_and_decay,latin_hypercube,51.7281755607,0.01751148911,2499,563,0.00549012550924,0.0181452030836,0.988576129654,0.0242052610346,0.038201859456,0.171126372103,0.0502965355511,1800,50,0,3.62589455513e-05,0,0
A5-CH-0111,retardation_and_decay,latin_hypercube,7.56895866577,0.0566624008783,2499,1573,0.0108531315734,0.0256795068795,0.959210260271,0.0170803086847,0.0323365052743,0.346778918627,0.131005554014,1800,50,0,0.000207381471011,0,0
A5-CH-0112,retardation_and_decay,latin_hypercube,13.7241437776,0.118647226207,2499,882,0.00756594901364,0.0205059522268,0.989264933417,0.0213637687661,0.0345129392265,0.23694802083,0.071704569156,0,50,0,0.000122927507879,0,0
A5-CH-0113,retardation_and_decay,latin_hypercube,41.1766735118,0.0875939246166,2499,239,0.0031217585053,0.0150486690145,0.978925106236,0.028866617404,0.0431661372547,0.242040172219,0.0576286323,1800,50,0,0.000118369231135,0,0
A5-CH-0114,retardation_and_decay,latin_hypercube,14.4705308037,0.117952599991,2499,1189,0.00963308405389,0.0231993178873,0.990581983974,0.019494438081,0.0322452159883,0.322512261094,0.00346353667438,1800,50,0,0.000145645235753,0,0
A5-CH-0115,retardation_and_decay,boundary_profile,50,0.0579827560573,2499,1404,0.0122183139405,0.0298400313708,0.957647524125,0.0214216662849,0.0393132114644,0.520586170441,0.0118708459251,1800,50,0,3.90766000554e-05,0,0
A5-CH-0116,retardation_and_decay,boundary_profile,2.5,0.0579827560573,2499,2342,0.0213506614472,0.0490680483805,0.833374973847,0.0199766003327,0.0379735713133,0.670919001102,0.0366702466571,1800,50,0,0.000409060016463,0,0
A5-CH-0117,retardation_and_decay,boundary_profile,350,0.00828325086533,2499,238,0.00271781926743,0.0165726170072,0.995549341835,0.0229150916386,0.0388950765695,0.422857314348,0.0103154188867,1800,50,0,0.000123042474763,0,0
